,Topik 1,Topik 2,Topik 3,Total Proporsi Kata
adm,0.03049234369105951,0.01700831998440581,0.9524993363245348,1.0
admin,0.012781851077873899,0.9754467856317928,0.011771363290333393,1.0
administasi,0.18718775312539632,0.6241690125671662,0.18864323430743746,0.9999999999999999
administr,0.4099009980619263,0.5742671824960088,0.0158318194420649,1.0
administra,0.1871877523371603,0.6241690141564065,0.18864323350643325,1.0
administrasi,0.006106704063586615,0.9470946560121686,0.04679863992424477,1.0
administrasinya,0.7929424661378709,0.07378489051620836,0.13327264334592082,1.0
administratif,0.18718775251225517,0.6241690138023525,0.18864323368539235,1.0
administratiffasilita,0.1871877523860656,0.6241690140582491,0.18864323355568527,0.9999999999999999
adminnistrasi,0.1871877523371603,0.6241690141564065,0.18864323350643325,1.0
adminstrasi,0.18718775265034712,0.6241690135288699,0.18864323382078305,1.0
adob,0.7932816518197435,0.07347670911770113,0.1332416390625554,1.0
adopsi,0.13153748876662166,0.07310095972219767,0.7953615515111806,1.0
adriani,0.12903497873078468,0.7472130205966658,0.12375200067254953,1.0
adt,0.1318461575066897,0.07310113490636569,0.7950527075869446,1.0
advanc,0.07310814861500338,0.8532152492672651,0.07367660211773146,0.9999999999999999
adventur,0.8665161110887435,0.052742530160036265,0.08074135875122028,1.0
adverb,0.7932816518455953,0.07347670911130755,0.13324163904309716,1.0
advertis,0.07931241834716136,0.04396260524441313,0.8767249764084255,1.0
ae,0.027848858072287062,0.9440824272444691,0.028068714683243897,1.0
aed,0.9109792277189099,0.03164186173829588,0.057378910542794245,1.0
aegypti,0.8755509452012721,0.04423461720107517,0.08021443759765277,1.0
aesturbo,0.1871780027363856,0.6240724656771173,0.18874953158649715,1.0
afrizar,0.18718775259534146,0.6241690136348192,0.18864323376983924,1.0
ag,0.7930420787325577,0.07369438337005299,0.13326353789738934,1.0
agama,0.03920066061201747,0.9276401522254458,0.03315918716253675,1.0
agen,0.8869930272812739,0.09696475391975017,0.016042218798975848,0.9999999999999999
agenda,0.18718775259882145,0.624169013637118,0.1886432337640606,1.0
agent,0.9427170225840177,0.020420476199079197,0.03686250121690315,1.0
agentbas,0.046587244798154265,0.9073273910890123,0.04608536411283339,0.9999999999999999
agentâ,0.12632571625673625,0.7494704311539746,0.12420385258928912,1.0
agfarizi,0.1318625606758346,0.07631991572962471,0.7918175235945407,1.0
aggreg,0.18718775384833491,0.6241690111086604,0.18864323504300454,0.9999999999999998
agil,0.06142376856882276,0.8772219571666339,0.06135427426454332,1.0
agoritma,0.20835298995956822,0.5917859477483558,0.19986106229207595,1.0
agrari,0.7913261980224977,0.07347559910334597,0.1351982028741564,1.0
agresif,0.8755509451785564,0.04423461720649921,0.08021443761494441,1.0
agribisni,0.18718775198529447,0.6241690148666399,0.1886432331480657,1.0
agung,0.18718775246068384,0.6241690139101982,0.18864323362911797,1.0
agustu,0.13174711114559928,0.07517669638974615,0.7930761924646547,1.0
ahe,0.07910595735597967,0.04396253467355022,0.8769315079704701,1.0
ahkir,0.13173585140956723,0.07506520015253831,0.7931989484378944,1.0
ahli,0.6563362801981982,0.09106159809417644,0.2526021217076254,1.0
ahp,0.006598173743269239,0.5886910951915937,0.4047107310651371,1.0
ahpanalyt,0.18718775362555082,0.6241690115596358,0.1886432348148134,1.0
ahpmoora,0.13217589920577255,0.07942269901947203,0.7884014017747555,1.0
ai,0.044636696741902175,0.26197298849903894,0.6933903147590589,1.0
aid,0.07310814860700014,0.853215249281933,0.07367660211106679,0.9999999999999999
air,0.4972808160396101,0.4673578895783962,0.035361294381993764,1.0000000000000002
aisk,0.14457916990112524,0.07310836569024518,0.7823124644086297,1.0
ajar,0.9519219310029514,0.01707131271265241,0.031006756284396034,0.9999999999999999
ajaran,0.0524724472553116,0.8947743763482884,0.05275317639640013,1.0000000000000002
ajer,0.793281651919019,0.07347670909379768,0.1332416389871834,1.0
ajher,0.14882688712537492,0.07311077801174465,0.7780623348628803,0.9999999999999999
ajukan,0.18718775245761068,0.6241690139091381,0.18864323363325125,1.0
aka,0.13159890999607518,0.07370913005430027,0.7946919599496246,1.0
akademi,0.12007477638237579,0.7034492285036849,0.17647599511393938,1.0
akademik,0.07412614593305489,0.9220850667911322,0.0037887872758128292,0.9999999999999999
akademika,0.13364938035953164,0.08788836618009753,0.7784622534603709,1.0
akademiknya,0.09174603311980493,0.8157945611078352,0.09245940577235992,1.0
akademisi,0.7932816513510355,0.07347670923032547,0.13324163941863892,0.9999999999999998
akar,0.07831275771854058,0.21626483293210616,0.7054224093493533,1.0
akbiat,0.7932816515555028,0.07347670918120837,0.13324163926328877,1.0
akhirakhir,0.3401103344133124,0.03150239849764135,0.6283872670890464,1.0
akhiran,0.865287303217508,0.053899672531653085,0.08081302425083893,1.0
akhirannya,0.19373778074957246,0.6182177059912274,0.18804451325920016,1.0
aki,0.19782122120741735,0.6145075234149541,0.1876712553776285,1.0
akibat,0.30154748239302326,0.13160219389767733,0.5668503237092993,0.9999999999999999
akibatnya,0.5189955852181188,0.43239373196911624,0.04861068281276485,0.9999999999999999
akomodasi,0.12723655523447056,0.7489065598166054,0.12385688494892416,1.0
akreditasi,0.018119455743264887,0.9636766457833232,0.01820389847341182,1.0
akrobatik,0.18718775391136497,0.6241690109829092,0.18864323510572586,1.0
aks,0.4388979620741127,0.46582167541808484,0.09528036250780243,1.0
